StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
0,,,,,,Sol,0,0,0.000004848,0,0,0,-26.73,4.85,G2V,0.656,0,0,0,0,0,0
1,1,224700,,,,,6.08E-05,1.08901332,282.4858757,-5.2,-1.88,,9.1,1.84501631,F5,0.482,282.43485,0.00449,5.36884,4.90E-08,-7.12E-06,-2.57E-06
2,2,224690,,,,,0.00025315,-19.49883745,45.66210046,181.21,-0.93,,9.27,5.972220574,K3V,0.999,43.04329,0.00285,-15.24144,-7.10E-08,4.01E-05,-1.94E-07
3,3,224699,,,,,0.00033386,38.85928608,355.8718861,5.24,-2.91,,6.61,-1.1464684,B9,-0.019,277.11358,0.02422,223.27753,3.15E-06,9.04E-06,-3.91E-06
4,4,224707,,,,,0.00055878,-51.89354612,129.0322581,62.85,0.16,,8.06,2.506508513,F0V,0.37,79.62896,0.01164,-101.53103,7.20E-08,3.93E-05,6.10E-08
5,5,224705,,,,,0.00066435,-40.5912244,348.4320557,2.53,9.07,,8.55,0.839409484,G8III,0.902,264.58918,0.04601,-226.71007,9.97E-06,4.28E-06,1.16E-05
6,6,,,,,,0.00120942,3.94648893,53.19148936,226.29,-12.84,,12.31,8.680789246,M0V:,1.336,53.06535,0.0168,3.66089,2.09E-07,5.84E-05,-3.30E-06
7,7,,,,,,0.00150326,20.03660216,56.36978579,-208.12,-200.79,,9.64,5.884768077,G0,0.74,52.95794,0.02084,19.31343,1.88E-05,-5.69E-05,-5.15E-05
8,8,224709,,,,,0.00181944,25.88647445,193.4235977,19.09,-5.66,,9.05,2.617452715,M6e-M8.5e Tc,1.102,174.01562,0.08288,84.44669,2.31E-06,1.79E-05,-4.77E-06
9,9,224708,,,,,0.00235612,36.58593777,207.9002079,-6.3,8.42,,8.59,2.000725382,G5,1.067,166.9363,0.10297,123.9143,-5.05E-06,-6.35E-06,6.81E-06
10,10,224717,,,,,0.00241687,-50.8670736,92.93680297,42.23,40.02,,8.59,3.749061357,F6V,0.489,58.65441,0.03711,-72.08957,1.40E-05,1.90E-05,1.14E-05
11,11,224720,,,,,0.00248646,46.94000154,233.1002331,11.09,-2.02,,7.34,0.502286461,A2,0.081,159.15237,0.1036,170.31215,1.66E-06,1.25E-05,-1.56E-06
12,12,224715,,,,,0.00272783,-35.96022482,246.3054187,-5.99,-0.1,,8.43,1.472630168,K4III,1.484,199.36567,0.14237,-144.63632,-6.50E-08,-7.15E-06,-9.60E-08
13,13,224728,,,,,0.00277864,-22.5946806,286.5329513,8.45,-10.07,,8.8,1.514127135,K0III,1.128,264.5403,0.19243,-110.08871,-5.38E-06,1.17E-05,-1.29E-05
14,14,224726,,,,,0.00321812,-0.36042119,195.6947162,61.75,-11.67,,7.25,0.792104501,K0,1.2,195.69077,0.16486,-1.23101,-1.18E-07,5.86E-05,-1.11E-05
